correlation,cpu_duration,gpu_duration,launch_delay
11739,3.0,3.0,3.0
11753,4.0,2.0,3.0
11766,2.0,1.0,3.0
11774,10.0,3.0,3.0
11788,3.0,2.0,3.0
11802,3.0,3.0,3.0
11815,2.0,1.0,3.0
11823,3.0,3.0,3.0
11837,3.0,4.0,3.0
11851,3.0,2.0,4.0
11865,3.0,3.0,3.0
11879,2.0,2.0,4.0
11892,2.0,1.0,3.0
11900,3.0,3.0,3.0
11914,4.0,3.0,3.0
11928,4.0,3.0,2.0
11941,3.0,1.0,3.0
11949,3.0,2.0,4.0
11963,2.0,2.0,4.0
11977,2.0,1.0,3.0
11991,2.0,3.0,3.0
12005,3.0,2.0,4.0
12018,3.0,1.0,3.0
12026,3.0,2.0,4.0
12040,3.0,2.0,3.0
12054,3.0,2.0,3.0
12067,2.0,1.0,3.0
12075,2.0,3.0,3.0
12089,2.0,1.0,4.0
12103,2.0,1.0,3.0
12117,3.0,2.0,3.0
12131,3.0,2.0,3.0
12144,4.0,0.0,2.0
12152,3.0,1.0,4.0
12166,3.0,2.0,3.0
12180,3.0,1.0,4.0
12193,3.0,0.0,4.0
12201,3.0,2.0,3.0
12215,3.0,1.0,3.0
12229,2.0,0.0,4.0
12243,2.0,1.0,4.0
12257,2.0,1.0,4.0
12270,3.0,1.0,3.0
12278,2.0,1.0,4.0
12292,3.0,2.0,3.0
12306,2.0,1.0,4.0
12319,3.0,1.0,3.0
12327,3.0,1.0,3.0
12341,3.0,1.0,3.0
12355,4.0,1.0,2.0
12369,3.0,1.0,3.0
12383,4.0,1.0,3.0
12396,2.0,1.0,3.0
12404,2.0,1.0,4.0
12418,3.0,1.0,3.0
12432,2.0,0.0,4.0
12445,2.0,1.0,3.0
12453,3.0,1.0,3.0
12467,3.0,1.0,3.0
12481,3.0,1.0,3.0
12495,2.0,1.0,4.0
12509,3.0,0.0,4.0
12522,2.0,0.0,4.0
12530,4.0,1.0,3.0
12544,3.0,1.0,4.0
12558,3.0,0.0,4.0
12571,4.0,0.0,3.0
12579,3.0,0.0,3.0
12593,3.0,2.0,3.0
12607,3.0,1.0,3.0
12621,3.0,1.0,4.0
12635,3.0,1.0,3.0
12648,2.0,0.0,3.0
12656,4.0,1.0,3.0
12670,3.0,1.0,3.0
12684,2.0,1.0,3.0
12697,7.0,0.0,4.0
12705,4.0,1.0,3.0
12719,9.0,1.0,3.0
12733,3.0,1.0,3.0
12747,2.0,1.0,4.0
12761,2.0,0.0,4.0
12774,2.0,1.0,3.0
12782,4.0,1.0,2.0
12796,4.0,1.0,3.0
12810,3.0,0.0,4.0
12823,2.0,0.0,3.0
12831,3.0,1.0,3.0
12845,3.0,1.0,3.0
12859,3.0,1.0,3.0
12873,2.0,1.0,4.0
12887,3.0,1.0,3.0
12900,3.0,0.0,3.0
12908,2.0,1.0,4.0
12922,2.0,1.0,4.0
12936,4.0,1.0,3.0
12949,2.0,1.0,3.0
12957,3.0,1.0,3.0
12971,3.0,1.0,3.0
12985,4.0,0.0,3.0
12999,6.0,1.0,2.0
13013,3.0,1.0,4.0
13026,2.0,0.0,4.0
13034,3.0,1.0,3.0
13048,3.0,1.0,3.0
13062,3.0,1.0,3.0
13075,2.0,1.0,3.0
13083,2.0,0.0,4.0
13115,12.0,49.0,3.0
13130,42.0,4.0,0.0
13145,78.0,2.0,2.0
13160,4.0,1.0,3.0
13175,3.0,1.0,4.0
13190,3.0,2.0,3.0
13210,8.0,0.0,3.0
13213,6.0,10.0,3.0
13232,2.0,0.0,3.0
13235,7.0,9.0,1.0
13246,5.0,0.0,3.0
13257,5.0,0.0,3.0
13271,4.0,0.0,3.0
13289,4.0,0.0,3.0
13300,4.0,1.0,3.0
13311,5.0,2.0,3.0
13322,5.0,0.0,3.0
13336,3.0,2.0,3.0
13348,3.0,1.0,3.0
13366,4.0,-1.0,4.0
13384,3.0,0.0,3.0
13398,5.0,18.0,3.0
13409,13.0,34.0,0.0
13420,5.0,0.0,3.0
13431,4.0,1.0,3.0
13445,4.0,35.0,3.0
13460,7.0,34.0,1.0
13474,21.0,1.0,2.0
13481,5.0,0.0,3.0
13494,5.0,0.0,3.0
13496,7.0,1.0,2.0
13505,4.0,3.0,3.0
13510,4.0,0.0,4.0
13514,3.0,0.0,5.0
13517,4.0,9.0,3.0
13521,2.0,0.0,9.0
13524,3.0,9.0,6.0
13528,3.0,0.0,12.0
13531,3.0,9.0,10.0
13535,3.0,0.0,16.0
13538,2.0,9.0,15.0
13542,2.0,0.0,22.0
13545,2.0,8.0,20.0
13549,3.0,0.0,25.0
13552,3.0,8.0,22.0
13556,2.0,0.0,28.0
13559,2.0,8.0,26.0
13563,3.0,0.0,32.0
13566,5.0,6.0,28.0
13581,4.0,4.0,4.0
13675,60.0,80.0,0.0
13699,5.0,80.0,10331.0
13723,3.0,80.0,20558.0
13747,3.0,79.0,30498.0
13771,4.0,79.0,40899.0
13853,4.0,80.0,20699.0
13901,4.0,80.0,30601.0
13949,3.0,80.0,40560.0
13997,2.0,80.0,50540.0
14045,2.0,79.0,60469.0
14093,2.0,80.0,70290.0
14141,11.0,80.0,80727.0
14189,4.0,80.0,90689.0
14237,2.0,80.0,100512.0
14461,11.0,80.0,2.0
14485,5.0,79.0,10900.0
14509,3.0,80.0,21873.0
14533,3.0,80.0,32904.0
14557,4.0,80.0,43979.0
14639,14.0,79.0,22083.0
14687,4.0,78.0,33191.0
14735,4.0,79.0,44342.0
14783,3.0,78.0,55481.0
14831,4.0,80.0,66368.0
14879,1.0,80.0,77239.0
14927,4.0,80.0,88311.0
14975,3.0,79.0,99480.0
15023,3.0,79.0,110616.0
15247,11.0,79.0,2.0
15271,4.0,80.0,11265.0
15295,3.0,79.0,22824.0
15319,3.0,80.0,34346.0
15343,3.0,80.0,45921.0
15425,3.0,79.0,22416.0
15473,4.0,80.0,33666.0
15521,6.0,79.0,44947.0
15569,4.0,79.0,56142.0
15617,4.0,80.0,67346.0
15665,4.0,79.0,78901.0
15713,3.0,79.0,90205.0
15761,3.0,80.0,101396.0
15960,18.0,6.0,10133.0
15970,4.0,4.0,10119.0
15980,4.0,4.0,10103.0
15996,5.0,2.0,10059.0
16009,7.0,4.0,10011.0
16022,11.0,2.0,9862.0
16039,2844.0,2.0,0.0
16057,15.0,29.0,2.0
16071,4.0,14.0,7.0
16084,7.0,17.0,3.0
16103,289.0,7.0,2.0
16118,7.0,11.0,2.0
16130,39.0,1.0,3.0
16141,15.0,7.0,2.0
16156,6.0,2.0,2.0
16172,9.0,18.0,3.0
16185,6.0,40.0,5.0
16207,5.0,13.0,3.0
