correlation,cpu_duration,gpu_duration,launch_delay
17644,11.0,1.0,245105.0
17658,7.0,2.0,244737.0
17671,7.0,7.0,244712.0
17681,28.0,1.0,243598.0
17688,6.0,3.0,243581.0
17705,7.0,1.0,241710.0
17720,4.0,0.0,241684.0
17735,3.0,1.0,241669.0
17751,5.0,166.0,241614.0
17761,4.0,2.0,241755.0
17772,6.0,1.0,241691.0
17786,5.0,1.0,241393.0
17801,3.0,0.0,241377.0
17821,8.0,105.0,241136.0
17831,5.0,2.0,241214.0
17842,8.0,0.0,240713.0
17853,6.0,1.0,240663.0
17867,5.0,1.0,240560.0
17882,4.0,0.0,240542.0
17898,5.0,105.0,240494.0
17908,4.0,2.0,240580.0
17936,17.0,1.0,238032.0
17957,4.0,-1.0,237903.0
17961,13.0,3.0,237810.0
17973,7.0,0.0,237802.0
17975,1.0,1.0,237803.0
17983,5.0,2.0,237792.0
17987,4.0,0.0,237789.0
17991,7.0,1.0,237782.0
17993,4.0,10.0,237779.0
17997,3.0,0.0,237786.0
17999,4.0,7.0,237771.0
18003,3.0,1.0,237775.0
18005,3.0,7.0,237773.0
18009,3.0,0.0,237777.0
18011,2.0,8.0,237775.0
18017,3.0,2.0,237779.0
18019,2.0,3.0,237779.0
18021,4.0,1.0,237778.0
18023,4.0,0.0,237777.0
18037,8.0,0.0,237091.0
18055,48.0,164.0,0.0
18070,12.0,0.0,1.0
18098,16.0,487.0,2.0
18132,28.0,1.0,11411.0
18147,6.0,1.0,11367.0
18162,4.0,788.0,11342.0
18186,16.0,1.0,11809.0
18197,7.0,22.0,12017.0
18211,7.0,1.0,11083.0
18226,3.0,0.0,11062.0
18249,7.0,0.0,10986.0
18260,5.0,9.0,10897.0
18274,5.0,1.0,10496.0
18289,3.0,0.0,10480.0
18306,8.0,2.0,10217.0
18323,25.0,0.0,10142.0
18334,5.0,1.0,10060.0
18348,8.0,1.0,9772.0
18363,4.0,0.0,9752.0
18379,9.0,25.0,9618.0
18389,7.0,9.0,9606.0
18400,11.0,5.0,9557.0
18429,6.0,11.0,9493.0
18443,3.0,0.0,9460.0
18458,3.0,1.0,9443.0
18478,4.0,1.0,9397.0
18489,5.0,8.0,9367.0
18499,3.0,3.0,9357.0
18510,5.0,2.0,9205.0
18543,10.0,4.0,8751.0
18557,8.0,1.0,8087.0
18572,3.0,0.0,8066.0
18592,4.0,1.0,8013.0
18603,7.0,7.0,7968.0
18613,4.0,2.0,7946.0
18628,10.0,0.0,6058.0
18657,7.0,4.0,5753.0
18671,7.0,0.0,4325.0
18686,5.0,0.0,4286.0
18706,4.0,2.0,4237.0
18719,8.0,6.0,4172.0
18729,4.0,1.0,4150.0
18740,6.0,1.0,3797.0
18754,5.0,0.0,3741.0
18769,3.0,1.0,3724.0
18789,5.0,1.0,3671.0
18800,5.0,13.0,3634.0
18810,3.0,1.0,3628.0
18821,6.0,0.0,3079.0
18835,7.0,2.0,2483.0
18862,5.0,0.0,2446.0
18870,5.0,3.0,2434.0
18875,3.0,1.0,2430.0
18894,12.0,1.0,557.0
18902,4.0,3.0,543.0
18919,5.0,0.0,454.0
18934,3.0,1.0,433.0
18949,3.0,1.0,419.0
18969,5.0,1.0,357.0
18980,5.0,13.0,320.0
18990,4.0,2.0,309.0
19001,15.0,0.0,2.0
